common_name,scientific_name,element_code
Ocmulgee Marstonia,Marstonia agarhecta,IMGASJ0880
Angled Marstonia,Marstonia angulobasis,IMGASK0120
Beaverpond Marstonia,Marstonia castor,IMGASJ0900
Comal Siltsnail,Marstonia comalensis,IMGASF9010
Gaddis Marstonia,Marstonia gaddisorum,IMGASK0110
Coosa Pyrg,Marstonia hershleri,IMGASJ0A20
Royal Springsnail,Marstonia ogmorhaphe,IMGASJ0450
Ozark Pyrg,Marstonia ozarkensis,IMGASJ0040
Armored Marstonia,Marstonia pachyta,IMGASJ0940
Moss Pyrg,Marstonia scalariformis,IMGASJ0050
an anchialine pool snail,Neritilia hawaiiensis,IMGASR4010
Hihiwai,Neritina granosa,IMGASE4020
Hapawai,Neritina vespertina,IMGASE4060
Nymph Trumpet,Phreatoceras taylori,IMGAS1A010
Hueco Cavesnail,Phreatodrobia conica,IMGASS6020
a cavesnail,Phreatodrobia coronae,IMGASS6080
Mimic Cavesnail,Phreatodrobia imitata,IMGASS6010
Domed Cavesnail,Phreatodrobia nugax,IMGASS6040
Beaked Cavesnail,Phreatodrobia rotunda,IMGASS6070
Ornate Physa,Physella costata,IMGASM0090
Grain Physa,Physella hordacea,IMGASM0150
Banff Springs Snail,Physella johnsoni,IMGASM0180
Snake River Physa,Physella natricina,IMGASL9040
Cave Physa,Physella spelunca,IMGASM0250
Hotwater Physa,Physella wrighti,IMGASM0330
Wet-rock Physa,Physella zionis,IMGASM0320
Magnificent Ramshorn,Planorbella magnifica,IMGASN0090
Lamb Ramshorn,Planorbella oregonensis,IMGASN0120
Corpulent Hornsnail,Pleurocera corpulenta,IMGASK7060
Rough Hornsnail,Pleurocera foremani,IMGASK7080
Bottle Hornsnail,Pleurocera gradata,IMGASK7090
Robust Walker,Pomatiopsis binneyi,IMGASJ9010
Pacific Walker,Pomatiopsis californica,IMGASJ9020
Marsh Walker,Pomatiopsis chacei,IMGASJ9030
Diamond Tryonia,Pseudotryonia adamantina,IMGASJ7100
Caliente Tryonia,Pseudotryonia alamosae,IMGASJ7140
Regal Hydrobe,Pseudotryonia brevissima,IMGASJ7220
Salt Spring Hydrobe,Pseudotryonia grahamae,IMGASJ7240
Benton Valley Springsnail,Pyrgulopsis aardahli,IMGASJ0270
Duckwater Pyrg,Pyrgulopsis aloba,IMGASJ0C40
Amargosa Springsnail,Pyrgulopsis amargosae,IMGASJ0340
Southern Duckwater Pyrg,Pyrgulopsis anatina,IMGASJ0C60
Longitudinal Gland Pyrg,Pyrgulopsis anguina,IMGASJ0670
Archimedes Pyrg,Pyrgulopsis archimedis,IMGASJ0010
Bylas Springsnail,Pyrgulopsis arizonae,IMGASJ0770
Elongate Cain Spring Pyrg,Pyrgulopsis augustae,IMGASJ0E30
Pleasant Valley Pyrg,Pyrgulopsis aurata,IMGASJ0D50
Moapa Pebblesnail,Pyrgulopsis avernalis,IMGASJ0780
Grand Wash Springsnail,Pyrgulopsis bacchus,IMGASJ0150
Large Gland Carico Pyrg,Pyrgulopsis basiglans,IMGASJ0E50
Bedford Springsnail,Pyrgulopsis bedfordensis,IMGASJ0380
San Bernadino Springsnail,Pyrgulopsis bernardina,IMGASJ0950
Small Gland Carico Pyrg,Pyrgulopsis bifurcata,IMGASJ0E60
Blaine Pyrg,Pyrgulopsis blainica,IMGASJ0350
Flat Pyrg,Pyrgulopsis breviloba,IMGASJ0B30
Fly Ranch Pyrg,Pyrgulopsis bruesi,IMGASJ0G70
Bruneau Hot Springsnail,Pyrgulopsis bruneauensis,IMGASJ0240
Cortez Hills Pebblesnail,Pyrgulopsis bryantwalkeri,IMGASJ0800
Carinate Duckwater Pyrg,Pyrgulopsis carinata,IMGASJ0C30
Moapa Valley Pyrg,Pyrgulopsis carinifera,IMGASJ0970
a freshwater snail,Pyrgulopsis castaicensis,IMGASJ0G90
Smooth Glenwood Pyrg,Pyrgulopsis chamberlini,IMGASJ0720
Chupadera Springsnail,Pyrgulopsis chupaderae,IMGASJ0520
Ash Valley Pyrg,Pyrgulopsis cinerana,IMGASJ0860
Blue Point Pyrg,Pyrgulopsis coloradensis,IMGASJ0A90
Kingman Springsnail,Pyrgulopsis conica,IMGASJ0160
Transverse Gland Pyrg,Pyrgulopsis cruciglans,IMGASJ0D30
Crystal Springsnail,Pyrgulopsis crystalis,IMGASJ0080
Goddess Pyrg,Pyrgulopsis cybele,IMGASJ0090
Limpia Creek Springsnail,Pyrgulopsis davisi,IMGASJ0540
Spring Mountains Pyrg,Pyrgulopsis deaconi,IMGASJ0A70
Diablo Range Pyrg,Pyrgulopsis diablensis,IMGASJ0980
Dixie Valley Pyrg,Pyrgulopsis dixensis,IMGASJ0D40
Ash Meadows Pebblesnail,Pyrgulopsis erythropoma,IMGASJ0410
Fairbanks Springsnail,Pyrgulopsis fairbanksensis,IMGASJ0070
Likely Pyrg,Pyrgulopsis falciglans,IMGASJ0870
Corn Creek Pyrg,Pyrgulopsis fausta,IMGASJ0A60
Owyhee Hot Springsnail,Pyrgulopsis fresti,IMGASJ0620
Otter Creek Pyrg,Pyrgulopsis fusca,IMGASJ0760
Southern Sierra Nevada Springsnail,Pyrgulopsis giuliani,IMGASJ0300
Verde Rim Springsnail,Pyrgulopsis glandulosa,IMGASJ0180
Emigrant Pyrg,Pyrgulopsis gracilis,IMGASJ0B50
Kern River Pyrg,Pyrgulopsis greggi,IMGASJ0A10
Hamlin Valley Pyrg,Pyrgulopsis hamlinensis,IMGASJ0700
Upper Thousand Spring Pyrg,Pyrgulopsis hovinghi,IMGASJ0F00
Hubbs Pyrg,Pyrgulopsis hubbsi,IMGASJ0B10
Humboldt Pyrg,Pyrgulopsis humboldtensis,IMGASJ0E90
Carolina Springs Pyrg,Pyrgulopsis ignota,IMGASJ0H20
Kings River Pyrg,Pyrgulopsis imperialis,IMGASJ0E10
Carinate Glenwood Pyrg,Pyrgulopsis inopinata,IMGASJ0730
Crooked Creek Springsnail,Pyrgulopsis intermedia,IMGASJ0650
Elongate-gland Springsnail,Pyrgulopsis isolata,IMGASJ0060
Landyes Pyrg,Pyrgulopsis landyei,IMGASJ0D10
Willow Creek Pyrg,Pyrgulopsis lasseni,IMGASJ0490
Butterfield Pyrg,Pyrgulopsis lata,IMGASJ0B40
Crittenen Pyrg,Pyrgulopsis lentiglans,IMGASJ0F20
Elko Pyrg,Pyrgulopsis leporina,IMGASJ0E80
Squat Mud Meadows Pyrg,Pyrgulopsis limaria,IMGASJ0F30
Lockes Pyrg,Pyrgulopsis lockensis,IMGASJ0C10
Long Valley Pyrg,Pyrgulopsis longae,IMGASJ0A30
Salton Sea Springsnail,Pyrgulopsis longinqua,IMGASJ0A40
Pahranagat Pebblesnail,Pyrgulopsis merriami,IMGASJ0790
Naegele Springsnail,Pyrgulopsis metcalfi,IMGASJ0550
Oasis Valley Springsnail,Pyrgulopsis micrococcus,IMGASJ0H70
Northern Soldier Meadow Pyrg,Pyrgulopsis militaris,IMGASJ0D70
Twentyone Mile Pyrg,Pyrgulopsis millenaria,IMGASJ0F10
