common_name,scientific_name,element_code
a grasshopper,Trimerotropis bernardi,IIORT36110
Zayante Band-winged Grasshopper,Trimerotropis infantilis,IIORT36030
a grasshopper,Trimerotropis inyo,IIORT36220
Santa Monica Grasshopper,Trimerotropis occidentiloides,IIORT36300
Lompoc Grasshopper,Trimerotropis occulens,IIORT36310
a grasshopper,Trimerotropis santabarbara,IIORT36370
Santa Monica Shieldback Katydid,Aglaothorax longipennis,IIORT32020
Kelso Jerusalem Cricket,Ammopelmatus kelsoensis,IIORT25010
Port Conception Jerusalem Cricket,Ammopelmatus muwu,IIORT25020
Big Pine Key Conehead Katydid,Belocephalus micanopy,IIORT02010
Keys Short-winged Conehead Katydid,Belocephalus sleighti,IIORT02020
Howarth's Cave Cricket,Caconemobius howarthi,IIORT16010
Kaumana Cave Cricket,Caconemobius varius,IIORT16030
Keys Scaly Cricket,Cycloptilum irregularis,IIORT03010
South Florida Taciturn Wood Cricket,Gryllus cayensis,IIORT69030
Pinnacles Shield Back Katydid,Idiostatus kathleenae,IIORT31020
Middlekauf's Shieldback Katydid,Idiostatus middlekauffi,IIORT31010
Algodones Sand Treader Cricket,Macrobaenetes algodonensis,IIORT22030
Coachella Giant Sand Treader Cricket,Macrobaenetes valgum,IIORT22020
Coachella Valley Jerusalem Cricket,Stenopelmatus cahuilaensis,IIORT26010
Sierra Pygmy Grasshopper,Tetrix sierrana,IIORT27010
Torreya Pygmy Grasshopper,Tettigidea empedonepia,IIORT28010
Volcanoes Cave Cricket,Thaumatogryllus cavicola,IIORT20010
Grass Bug,Acetropis americana,IIHEM76010
Ash Meadows Naucorid,Ambrysus amargosus,IIHEM06020
Nevares Spring Naucorid Bug,Ambrysus funebris,IIHEM06040
Saratoga Springs Belostoman Bug,Belostoma saratogae,IIHEM08010
a plant bug,Ceratocapsus downesi,IIHEM40090
a jumping tree bug,Clivenema fusca,IIHEM69010
a dirt-colored seed bug,Gastrodes intermedius,IIHEM67010
Eastern Sedge Barrens Leafhopper,Limotettix minuendus,IIHOM02X10
Ana Wingless Thread Bug,Nesidiolestes ana,IIHEM20010
Wekiu Bug,Nysius wekiuicola,IIHEM12070
a cave obligate planthopper,Oliarus gagneri,IIHOM04100
a cave obligate planthopper,Oliarus kalaupapae,IIHOM04120
a cave obligate planthopper,Oliarus lorettae,IIHOM04080
a cave obligate planthopper,Oliarus makaiki,IIHOM04090
a cave obligate planthopper,Oliarus polyphemus,IIHOM04070
Priolan Oliarus Planthopper,Oliarus priola,IIHOM04060
a cave obligate planthopper,Oliarus waikau,IIHOM04110
Buffalo Mountain Mealybug,Puto kosztarabi,IIHOM24010
a water scorpion,Ranatra montezuma,IIHEM44050
Wilbur Springs Shorebug,Saldula usingeri,IIHEM07010
Virginia Piedmont Water Boatman,Sigara depressa,IIHEM04060
a water treader,Speovelia aaa,IIHEMB0010
Archbold's Treehopper,Telamona archboldi,IIHOM68010
Warm Springs Naucorid,Usingerina moapensis,IIHEM25010
an earwig,Anisolabis howarthi,IIDER01010
Island Snow Scorpionfly,Boreus insulanus,IIMEC08170
Gold Rush Hanging Fly,Orobittacus obscurus,IIMEC07010
a panorpid scorpionfly,Panorpa braueri,IIMEC04060
Florida Scorpionfly,Panorpa floridana,IIMEC04480
Laurel Creek Xystodesmid Millipede,Apheloria whiteheadi,ITUNI49020
Big Cedar Creek Millipede,Appalachioria falcifera,ITUNI50040
Turner's Millipede,Appalachioria turneri,ITUNI50100
a centipede,Arctogeophilus insularis,ITUNI68010
a cave obligate millipede,Blancosoma scaturgo,ITUNI84010
High Knob Mimic Millipede,Brachoria insolita,ITUNI50060
Keeton's Millipede,Brachoria laminata,ITUNI50070
Collinwood Millipede,Brachoria mendota,ITUNI50080
Shear's Mimic Millepede,Brachoria sheari,ITUNI50190
Virginia Mimic Millipede,Brachoria virginia,ITUNI50200
Aleys' Milliped,Chaetaspis aleyorum,ITUNI63040
a cave millipede,Chaetaspis mollis,ITUNI63030
a cave obligate millipede,Colactis briggsi,ITUNI69010
Aeto Millipede,Conotyla aeto,ITUNI04060
Celeno Millipede,Conotyla celeno,ITUNI04070
Venetia Millipede,Conotyla venetia,ITUNI04040
Brooks' Millipede,Dixioria brooksi,ITUNI48010
a millipede,Ergodesmus remingtoni,ITUNI65010
Whitetop Mountain Centipede,Escaryus orestes,ITUNI66020
a spirobolid millipede,Floridobolus floydi,IIDIP83020
a spirobolid millipede,Floridobolus orini,IIDIP83030
Florida Scrub Millipede,Floridobolus penneri,IIDIP83010
Idaho Lava Tube Millipede,Idagona westcotti,ITUNI86010
a cave obligate millipede,Macromastus umpqua,ITUNI83010
a cave centipede,Nampabius turbator,ITUNI64010
a millipede,Nannaria conservata,ITUNI51010
a millipede,Nannaria laminata,ITUNI51030
Shenandoah Mt. Xystodesmid,Nannaria shenandoah,ITUNI51050
a millipede,Nannaria simplex,ITUNI51060
a millipede,Nearctodesmus insularis,ITUNI67010
Clinton Cave Millipede,Polydesmus cavicola,ITUNI58020
a cave obligate millipede,Pseudotremia acheron,ITUNI03160
a cave obligate millipede,Pseudotremia aeacus,ITUNI03170
a cave obligate millipede,Pseudotremia amphiorax,ITUNI03180
Black's Cave Milliped,Pseudotremia blacki,ITUNI03330
Burn's Cave Milliped,Pseudotremia burnsorum,ITUNI03340
Call's Cave Milliped,Pseudotremia callae,ITUNI03470
Cerberus Cave Milliped,Pseudotremia cerberus,ITUNI03620
a cave obligate millipede,Pseudotremia cercops,ITUNI03200
Tnc Cave Milliped,Pseudotremia conservata,ITUNI03320
Twisted-gonopod Cave Milliped,Pseudotremia contorta,ITUNI03510
Cook's Cave Milliped,Pseudotremia cookorum,ITUNI03350
Culver's Cave Milliped,Pseudotremia culveri,ITUNI03520
Douglas' Cave Milliped,Pseudotremia douglasi,ITUNI03440
Ferguson's Cave Milliped,Pseudotremia fergusoni,ITUNI03530
Roaring Branch Rough-backed Millipede,Pseudotremia fremens,ITUNI03130
Garland's Cave Millipede,Pseudotremia garlandae,ITUNI03430
Holliday's Cave Milliped,Pseudotremia hollidayi,ITUNI03480
Hubbard's Cave Milliped,Pseudotremia hubbardi,ITUNI03540
Devault's Cave Milliped,Pseudotremia inexpectata,ITUNI03550
Harpoon Cave Milliped,Pseudotremia jaculohamatum,ITUNI03560
Holsinger's Cave Milliped,Pseudotremia johnholsingeri,ITUNI03570
a cave obligate millipede,Pseudotremia lethe,ITUNI03240
a cave obligate millipede,Pseudotremia lictor,ITUNI03250
Loomis's Rough-backed Millipede,Pseudotremia loomisi,ITUNI03580
Germany Valley Cave Millipede,Pseudotremia lusciosa,ITUNI03050
Mann's Cave Millipede,Pseudotremia manni,ITUNI03410
a cave obligate millipede,Pseudotremia merops,ITUNI03260
a cave obligate millipede,Pseudotremia minos,ITUNI03270
a cave obligate millipede,Pseudotremia nyx,ITUNI03280
Pumpkin-headed Cave Milliped,Pseudotremia peponocranium,ITUNI03600
Fisher Cave Milliped,Pseudotremia piscator,ITUNI03490
South Branch Valley Cave Millipede,Pseudotremia princeps,ITUNI03060
Pursell's Cave Milliped,Pseudotremia purselli,ITUNI03360
Reynolds Cave Millipede,Pseudotremia reynoldsae,ITUNI03380
a cave obligate millipede,Pseudotremia rhadamanthus,ITUNI03290
Roebuck's Cave Millipede,Pseudotremia roebuckorum,ITUNI03420
Rye Cove Cave Milliped,Pseudotremia ryensis,ITUNI03500
Jones' Saltpetre Cave Milliped,Pseudotremia salifodina,ITUNI03610
Salisa's Cave Milliped,Pseudotremia salisae,ITUNI03370
a cave obligate millipede,Pseudotremia spira,ITUNI03300
a cave obligate millipede,Pseudotremia unca,ITUNI03310
a millipede,Pseudotremia valga,ITUNI03070
Wallace's Cave Millipede,Pseudotremia wallaceae,ITUNI03400
Wither's Cave Milliped,Pseudotremia withersi,ITUNI03450
Relictual Appalachian Millipede,Rhysodesmus restans,ITUNI89010
Sollman's Cave Millipede,Scoterpes sollmani,ITUNI01050
a cave obligate millipede,Speodesmus aquiliensis,ITUNI78040
a cave obligate millipede,Speostriaria shastae,ITUNI74010
a cave obligate centipede,Stenophilus californicus,ITUNI80010
a millipede,Striaria causeyae,ITUNI39030
a cave obligate centipede,Thalkethops grallatrix,ITUNI81010
a millipede,Trigenotyla blacki,ITUNI76020
a cave obligate millipede,Trigenotyla parca,ITUNI76010
a cave millipede,Trigenotyla seminole,ITUNI76030
a cave flatworm,Geocentrophora cavernicola,IPTUR09010
Lewis' Cave Planarian,Kenkia lewisi,IPTUR05030
a flatworm,Kenkia rhynchida,IPTUR08010
a cave obligate planarian,Phagocata angusta,IPTUR01020
a cave obligate planarian,Phagocata carolinensis,IPTUR01060
a cave obligate planarian,Phagocata holleri,IPTUR01070
a cave obligate planarian,Phagocata oregonensis,IPTUR01080
a cave obligate planarian,Phagocata procera,IPTUR01090
a groundwater planarian,Procotyla typhlops,IPTUR03010
Sunderland Spring Planarian,Seidlia remota,IPTUR10010
a cave obligate planarian,Sphalloplana buchanani,IPTUR04100
a cave obligate planarian,Sphalloplana californica,IPTUR04110
Chandler's Planarian,Sphalloplana chandleri,IPTUR04070
Culver's Planarian,Sphalloplana culveri,IPTUR04060
Perryville Cave Planarian,Sphalloplana evaginata,IPTUR04120
a cave obligate planarian,Sphalloplana georgiana,IPTUR04130
Holsinger's Groundwater Planarian,Sphalloplana holsingeri,IPTUR04010
a cave obligate planarian,Sphalloplana hypogea,IPTUR04140
Kansas Planarian,Sphalloplana kansensis,IPTUR04150
Bigger's Groundwater Planarian,Sphalloplana subtilis,IPTUR04020
Rockbridge County Cave Planarian,Sphalloplana virginiana,IPTUR04030
Kauai Cave Wolf Spider,Adelocosa anops,ILARA18010
a sheetweb weaver,Agyneta gagnei,ILARAJ8010
a cave obligate pseudoscorpion,Alabamocreagris mortis,ILARAD5010
a cave obligate pseudoscorpion,Alabamocreagris pecki,ILARAD5020
a cave obligate pseudoscorpion,Albiorix anophthalmus,ILARAD4010
Grubb's Cave Pseudoscorpion,Aphrastochthonius grubbsi,ILARA37010
a cave obligate pseudoscorpion,Aphrastochthonius pachysetus,ILARA37030
a cave obligate pseudoscorpion,Aphrastochthonius pecki,ILARA37040
Carlow's Cave Pseudoscorpion,Aphrastochthonius similis,ILARA37020
a cave obligate pseudoscorpion,Aphrastochthonius tenax,ILARA37050
a cave obligate pseudoscorpion,Apocheiridium reddelli,ILARAB6010
a cave obligate pseudoscorpion,Apochthonius coecus,ILARA29030
a cave obligate pseudoscorpion,Apochthonius colecampi,ILARA29070
a cave obligate pseudoscorpion,Apochthonius diabolus,ILARA29080
a cave obligate pseudoscorpion,Apochthonius forbesi,ILARA29090
a cave obligate pseudoscorpion,Apochthonius grubbsi,ILARA29100
Buckskin Cave Pseudoscorpion,Apochthonius hobbsi,ILARA29060
a cave obligate pseudoscorpion,Apochthonius holsingeri,ILARA29040
Indiana Cave Pseudoscorpion,Apochthonius indianensis,ILARA29050
Malheur Pseudoscorpion,Apochthonius malheuri,ILARA29020
a cave obligate pseudoscorpion,Apochthonius minor,ILARA29150
Mystery Cave Pseudoscorpion,Apochthonius mysterius,ILARA29110
Dry Fork Valley Cave Pseudoscorpion,Apochthonius paucispinosus,ILARA29010
a cave obligate pseudoscorpion,Apochthonius russelli,ILARA29120
a cave obligate pseudoscorpion,Apochthonius titanicus,ILARA29130
Stone County Cave Pseudoscorpion,Apochthonius typhlus,ILARA29140
a cave spider,Appaleptoneta barrowsi,ILARAU3040
a cave spider,Appaleptoneta credula,ILARAU3020
a cave spider,Appaleptoneta jonesi,ILARAU3030
Aalbu's Cave Pseudoscorpion,Archeolarca aalbui,ILARA38010
Grand Canyon Cave Pseudoscorpion,Archeolarca cavicola,ILARA38020
Guadalupe Cave Pseudoscorpion,Archeolarca guadalupensis,ILARA38030
a cave obligate pseudoscorpion,Archeolarca welbourni,ILARA38040
a cave obligate pseudoscorpion,Australinocreagris grahami,ILARAD7010
Galile's Cave Harvestman,Banksula galilei,ILARA14040
Grubbs' Cave Harvestman,Banksula grubbsi,ILARA14060
Incredible Harvestman,Banksula incredula,ILARA14100
Martins' Cave Harvestman,Banksula martinorum,ILARA14070
Melones Cave Harvestman Spider,Banksula melones,ILARA14010
Rudolph's Cave Harvestman,Banksula rudolphi,ILARA14080
Tuolumne Cave Harvestman,Banksula tuolumne,ILARA14090
King Tut Cave Harvestman,Banksula tutankhamen,ILARA14200
a cave obligate mite,Belba bulbipedata,ILACA05010
a cave obligate harvestman,Bishopella jonesi,ILARAA9010
San Benito Harvestman,Calicina arida,ILARAU8010
Stanislaus Harvestman,Calicina breva,ILARAU8020
Clough Cave Harvestman,Calicina cloughensis,ILARAU8090
Crane Flat harvestman,Calicina conifera,ILARAU8030
Marin Blind Harvestman,Calicina diminua,ILARAU8040
Watts Valley Harvestman,Calicina dimorphica,ILARAU8050
Marbled Harvestman,Calicina macula,ILARAU8060
Table Mountain Harvestman,Calicina mesaensis,ILARAU8070
Edgewood Blind Harvestman,Calicina minor,ILARA13020
Piedra Harvestman,Calicina piedra,ILARAU8080
a harvestman spider,Calicina serpentinea,ILARA13030
Briggs' Leptonetid Spider,Calileptoneta briggsi,ILARAU6010
Andreas Canyon Leptonetid Spider,Calileptoneta oasa,ILARAU6020
Ubick's Leptonetid Spider,Calileptoneta ubicki,ILARAU6030
Mendocino leptonetid spider,Calileptoneta wapiti,ILARAU6040
a hahniid spider,Calymmaria virginica,ILARA53020
a cave obligate mite,Ceuthothrombium cavaticum,ILACA10010
a cave obligate pseudoscorpion,Cheiridium reyesi,ILARAB7010
a cave obligate pseudoscorpion,Chitrella archeri,ILARA31050
a cave obligate pseudoscorpion,Chitrella elliotti,ILARA31060
a cave obligate pseudoscorpion,Chitrella major,ILARA31070
Royal Syarinid Pseudoscorpion,Chitrella regina,ILARA31010
a cave obligate pseudoscorpion,Chitrella superba,ILARA31030
a cave obligate pseudoscorpion,Chitrella welbourni,ILARA31080
a cave obligate pseudoscorpion,Chitrellina chiricahuae,ILARAE1010
a cobweb weaver,Chrosiothes jenningsi,ILARAK1010
Robber Baron Cave Meshweaver,Cicurina baronia,ILARA73040
a cave obligate spider,Cicurina barri,ILARA73110
a cave obligate spider,Cicurina browni,ILARA73120
a cave obligate spider,Cicurina buwata,ILARA73130
a cave obligate spider,Cicurina caverna,ILARA73140
a cave obligate spider,Cicurina coryelli,ILARA73150
a cave obligate spider,Cicurina ezelli,ILARA73170
a cave obligate spider,Cicurina gruta,ILARA73180
a cave obligate spider,Cicurina holsingeri,ILARA73190
a cave obligate spider,Cicurina machete,ILARA73200
Madla Cave Meshweaver,Cicurina madla,ILARA73700
a cave obligate spider,Cicurina mckenziei,ILARA73210
a cave obligate spider,Cicurina medina,ILARA73220
a cave obligate spider,Cicurina menardia,ILARA73230
a cave obligate spider,Cicurina obscura,ILARA73240
a cave obligate spider,Cicurina orellia,ILARA73250
a cave obligate spider,Cicurina pablo,ILARA73260
a cave obligate spider,Cicurina pastura,ILARA73270
a cave obligate spider,Cicurina patei,ILARA73280
a cave obligate spider,Cicurina porteri,ILARA73290
a cave obligate spider,Cicurina puentecilla,ILARA73300
a cave obligate spider,Cicurina rainesi,ILARA73310
a cave obligate spider,Cicurina reclusa,ILARA73320
a cave obligate spider,Cicurina reddelli,ILARA73330
a cave obligate spider,Cicurina russelli,ILARA73350
a cave obligate spider,Cicurina sansaba,ILARA73360
a cave obligate spider,Cicurina selecta,ILARA73370
a cave obligate spider,Cicurina serena,ILARA73380
a cave obligate spider,Cicurina sheari,ILARA73390
a cave obligate spider,Cicurina sprousei,ILARA73400
a cave obligate spider,Cicurina stowersi,ILARA73410
a cave obligate spider,Cicurina suttoni,ILARA73420
a cave obligate spider,Cicurina travisae,ILARA73430
a cave obligate spider,Cicurina ubicki,ILARA73440
a cave obligate spider,Cicurina uvalde,ILARA73450
a cave obligate spider,Cicurina venefica,ILARA73460
Government Canyon Bat Cave Meshweaver,Cicurina vespera,ILARA73060
a cave obligate spider,Cicurina vibora,ILARA73470
Warton Meshweaver,Cicurina wartoni,ILARA73070
a cave obligate spider,Cicurina watersi,ILARA73480
a cave obligate spider,Cicurina wiltoni,ILARA73490
a cave obligate harvestman,Crosbyella distincta,ILARAB0010
a cave obligate harvestman,Crosbyella roeweri,ILARAB0020
a cave cobweb spider,Eidmannella bullata,ILARA97020
a cave cobweb spider,Eidmannella delicata,ILARA97030
a cave cobweb spider,Eidmannella nasuta,ILARA97040
a cave cobweb spider,Eidmannella reclusa,ILARA97050
a cave obligate mite,Elliotta howarthi,ILACA11010
a dwarf weaver,Erigone stygius,ILARAJ7010
Empire Cave Pseudoscorpion,Fissilicreagris imperialis,ILARAE5010
a cave obligate mite,Flabellorhagidia pecki,ILACA12010
a cave obligate mite,Foveacheles goffi,ILACA01030
a cave obligate mite,Foveacheles tenorioae,ILACA01040
a harvestman,Fumontana deprehendor,ILARA50000
a cave obligate mite,Galumna alata,ILACA06010
Donaldson's Cave Water Mite,Hamohalacarus subterraneus,ILACA07010
Holsinger's Cave Pseudoscorpion,Hesperochernes holsingeri,ILARA48050
a cave obligate harvestman,Hesperonemastoma inops,ILARAA4010
a cave obligate harvestman,Hesperonemastoma packardi,ILARAA4030
Rosemary Wolf Spider,Hogna ericeticola,ILARA12010
Idria Short-tailed Whipscorpion,Hubbardia idria,ILARAE2020
Arroyo Seco Short-tailed Whipscorpion,Hubbardia secoensis,ILARAE2030
Shoshone Cave Whipscorpion,Hubbardia shoshonensis,ILARAE2010
a dwarf weaver,Islandiana lewisi,ILARA27130
a cave spider,Islandiana muma,ILARA27020
Cavern Sheet-web Spider,Islandiana speophila,ILARA27010
a cave obligate pseudoscorpion,Kleptochthonius affinis,ILARA30130
a cave obligate pseudoscorpion,Kleptochthonius anophthalmus,ILARA30060
a cave obligate pseudoscorpion,Kleptochthonius attenuatus,ILARA30140
a cave obligate pseudoscorpion,Kleptochthonius barri,ILARA30150
a cave obligate pseudoscorpion,Kleptochthonius binoculatus,ILARA30070
a cave obligate pseudoscorpion,Kleptochthonius cerberus,ILARA30160
a cave obligate pseudoscorpion,Kleptochthonius charon,ILARA30170
a cave obligate pseudoscorpion,Kleptochthonius daemonius,ILARA30180
a cave obligate pseudoscorpion,Kleptochthonius erebicus,ILARA30190
Gertsch's Cave Pseudoscorpion,Kleptochthonius gertschi,ILARA30080
Gray-handed Pseudoscorpion,Kleptochthonius griseomanus,ILARA30340
a cave obligate pseudoscorpion,Kleptochthonius hageni,ILARA30200
Organ Cave Pseudoscorpion,Kleptochthonius hetricki,ILARA30020
a cave obligate pseudoscorpion,Kleptochthonius hubrichti,ILARA30210
a cave obligate pseudoscorpion,Kleptochthonius infernalis,ILARA30220
Lewis Pseudoscorpion,Kleptochthonius lewisorum,ILARA30350
Lutz's Cave Pseudoscorpion,Kleptochthonius lutzi,ILARA30090
a cave obligate pseudoscorpion,Kleptochthonius magnus,ILARA30240
a cave obligate pseudoscorpion,Kleptochthonius microphthalmus,ILARA30250
a cave obligate pseudoscorpion,Kleptochthonius myopius,ILARA30260
Orpheus Cave Pseudoscorpion,Kleptochthonius orpheus,ILARA30030
a cave obligate pseudoscorpion,Kleptochthonius pluto,ILARA30280
Proserpina Cave Pseudoscorpion,Kleptochthonius proserpinae,ILARA30040
a cave obligate pseudoscorpion,Kleptochthonius proximosetus,ILARA30100
a cave obligate pseudoscorpion,Kleptochthonius regulus,ILARA30050
a cave obligate pseudoscorpion,Kleptochthonius rex,ILARA30290
a cave obligate pseudoscorpion,Kleptochthonius similis,ILARA30110
a cave obligate pseudoscorpion,Kleptochthonius stygius,ILARA30300
a cave obligate pseudoscorpion,Kleptochthonius tantalus,ILARA30310
Lacey's Cave Pseudoscorpion,Larca laceyi,ILARA39010
a cave obligate pseudoscorpion,Leucohya texana,ILARAB5010
Tennessee Two-clawed Spider,Liocranoides tennesseensis,ILARAA0020
a cave obligate pseudoscorpion,Lissocreagris persephone,ILARA20070
a cave obligate pseudoscorpion,Lissocreagris pluto,ILARA20080
Valentine's Cave Pseudoscorpion,Lissocreagris valentinei,ILARA20030
a wolf spider,Lycosa howarthi,ILARA12030
a cave obligate mite,Macrocheles stygius,ILACA09010
a cave obligate mite,Macrocheles troglodytes,ILACA09020
Dolloff Cave Spider,Meta dolloff,ILARA17010
a cave obligate pseudoscorpion,Mexichthonius exoticus,ILARAD8010
Edgewood Micro-blind Harvestman,Microcina edgewoodensis,ILARA47010
Hom's Blind Harvestman,Microcina homi,ILARA47020
Silver Creek Blind Harvestman,Microcina jungi,ILARA47030
Lee's Blind Harvestman,Microcina leei,ILARA47040
Fairmont Blind Harvestman,Microcina lumi,ILARA47050
Tiburon Blind Harvestman Spider,Microcina tiburona,ILARA47060
a cave obligate pseudoscorpion,Microcreagris eurydice,ILARA20040
a cave obligate pseudoscorpion,Microcreagris grandis,ILARA20050
a cave obligate pseudoscorpion,Microcreagris nickajackensis,ILARA20060
Cavernicolous Pseudoscorpion,Mundochthonius cavernicola,ILARA35020
a cave pseudoscorpion,Mundochthonius holsingeri,ILARA35010
a cave obligate pseudoscorpion,Neoallochernes incertus,ILARAB9010
Empire Cave Pseudoscorpion,Neochthonius imperialis,ILARAD1010
a cave obligate spider,Neoleptoneta serena,ILARA24080
a cave obligate spider,Nesticus barrowsi,ILARA36230
a cave cobweb spider,Nesticus brimleyi,ILARA36070
Linville Caverns Spider,Nesticus carolinensis,ILARA34010
Lost Nantahala Cave Spider,Nesticus cooperi,ILARA36020
a cave cobweb spider,Nesticus crosbyi,ILARA36130
Grassy Creek Cave Spider,Nesticus dilutus,ILARA36030
Crystal Caverns Cave Spider,Nesticus furtivus,ILARA36040
a cave cobweb spider,Nesticus georgia,ILARA36240
a cave cobweb spider,Nesticus gertschi,ILARA36170
Cave Spring Cave Spider,Nesticus jonesi,ILARA36050
a cave cobweb spider,Nesticus potterius,ILARA36250
a cave cobweb spider,Nesticus stygius,ILARA36260
a cave obligate pseudoscorpion,Parobisium charlotteae,ILARAD9010
a cave obligate pseudoscorpion,Pseudogarypus hypogeus,ILARA40020
Music Hall Cave Pseudoscorpion,Pseudogarypus orpheus,ILARA40010
a cave obligate pseudoscorpion,Pseudogarypus speleus,ILARA40030
a scorpion,Pseudouroctonus peccatum,ILARA5L010
a cave obligate pseudoscorpion,Saetigerocreagris phyllisae,ILARAE0010
a cave obligate harvestman,Sclerobunus cavicolens,ILARAB4010
a cave obligate harvestman,Sclerobunus madhousensis,ILARAB4022
a cave obligate harvestman,Sclerobunus ungulatus,ILARAB4021
Gertsch's Socalchemmis Spider,Socalchemmis gertschi,ILARAU7010
Icenogle's Socalchemmis Spider,Socalchemmis icenoglei,ILARAU7020
Monterey Socalchemmis Spider,Socalchemmis monterey,ILARAU7030
a cave obligate mite,Soldanellonyx chapuisi,ILACA08010
a cave obligate mite,Soldanellonyx morardi,ILACA08020
Lake Placid Funnel Wolf Spider,Sosippus placidus,ILARA02010
a cave obligate harvestman,Speleomaster lexi,ILARAA6010
a cave obligate harvestman,Speleomaster pecki,ILARAA6020
a cave obligate harvestman,Speleonychia sengeri,ILARAB3010
Moody's Gnaphosid Spider,Talanites moodyae,ILARA98020
Ubick's Gnaphosid Spider,Talanites ubicki,ILARA98030
a cave obligate harvestman,Taracus malkini,ILARAA7010
a cave obligate harvestman,Taracus silvestrii,ILARAA7020
a cave obligate pseudoscorpion,Tartarocreagris altimana,ILARA67070
a cave obligate pseudoscorpion,Tartarocreagris amblyopa,ILARA67080
a cave obligate pseudoscorpion,Tartarocreagris attenuata,ILARA67090
a cave obligate pseudoscorpion,Tartarocreagris domina,ILARA67110
a cave obligate pseudoscorpion,Tartarocreagris grubbsi,ILARA67120
a cave obligate pseudoscorpion,Tartarocreagris hoodensis,ILARA67130
a cave obligate pseudoscorpion,Tartarocreagris intermedia,ILARA67040
a cave obligate pseudoscorpion,Tartarocreagris proserpina,ILARA67140
Tooth Cave Pseudoscorpion,Tartarocreagris texana,ILARA67010
a cave obligate spider,Tayshaneta anopica,ILARA24030
a cave obligate spider,Tayshaneta concinna,ILARA24040
a cave obligate spider,Tayshaneta devia,ILARA24050
Government Canyon Bat Cave Spider,Tayshaneta microps,ILARA24020
Tooth Cave Spider,Tayshaneta myopica,ILARA24010
a cave obligate spider,Tayshaneta valverdae,ILARA24060
a cave obligate harvestman,Texella brevidenta,ILARA25040
a cave obligate harvestman,Texella brevistyla,ILARA25050
Cokendolpher Cave Harvestman,Texella cokendolpheri,ILARA25030
Whitewater Canyon Harvestman,Texella deserticola,ILARA25160
a cave obligate harvestman,Texella diplospina,ILARA25060
a harvestman,Texella fendi,ILARA25150
a cave obligate harvestman,Texella grubbsi,ILARA25070
a cave obligate harvestman,Texella hardeni,ILARA25080
Kokoweef Crystal Cave Harvestman,Texella kokoweef,ILARA25090
a cave obligate harvestman,Texella renkesae,ILARA25120
Shoshone Cave Harvestman,Texella shoshone,ILARA25130
a cave obligate harvestman,Texella welbourni,ILARA25140
a cave obligate spider,Thymoites minero,ILARAA3010
a cave mite,Traegaardhia paralleloseta,ILACA01010
a cave obligate pseudoscorpion,Tuberochernes aalbui,ILARAD3010
a cave obligate pseudoscorpion,Tuberochernes ubicki,ILARAD3020
a pseudoscorpion,Tyrannochthonius alabamensis,ILARAD2390
a cave obligate pseudoscorpion,Tyrannochthonius aladdinensis,ILARAD2010
a cave obligate pseudoscorpion,Tyrannochthonius aralu,ILARAD2020
a cave obligate pseudoscorpion,Tyrannochthonius archeri,ILARAD2030
a cave obligate pseudoscorpion,Tyrannochthonius attenuatus,ILARAD2040
a cave obligate pseudoscorpion,Tyrannochthonius avernicolus,ILARAD2050
a cave obligate pseudoscorpion,Tyrannochthonius barri,ILARAD2060
a cave obligate pseudoscorpion,Tyrannochthonius binoculatus,ILARAD2070
a cave obligate pseudoscorpion,Tyrannochthonius chamberlini,ILARAD2080
a cave obligate pseudoscorpion,Tyrannochthonius charon,ILARAD2090
a cave obligate pseudoscorpion,Tyrannochthonius diabolus,ILARAD2100
a cave obligate pseudoscorpion,Tyrannochthonius erebicus,ILARAD2110
a cave obligate pseudoscorpion,Tyrannochthonius felix,ILARAD2120
a cave obligate pseudoscorpion,Tyrannochthonius fiskei,ILARAD2130
a pseudoscorpion,Tyrannochthonius floridensis,ILARAD2380
a cave obligate pseudoscorpion,Tyrannochthonius gnomus,ILARAD2140
a cave obligate pseudoscorpion,Tyrannochthonius halopotamus,ILARAD2150
a cave obligate pseudoscorpion,Tyrannochthonius howarthi,ILARAD2360
a cave obligate pseudoscorpion,Tyrannochthonius hypogeus,ILARAD2160
a cave obligate pseudoscorpion,Tyrannochthonius infernalis,ILARAD2170
a cave obligate pseudoscorpion,Tyrannochthonius jonesi,ILARAD2180
a cave obligate pseudoscorpion,Tyrannochthonius nergal,ILARAD2190
a cave obligate pseudoscorpion,Tyrannochthonius orpheus,ILARAD2200
a cave obligate pseudoscorpion,Tyrannochthonius osiris,ILARAD2210
a cave obligate pseudoscorpion,Tyrannochthonius parvus,ILARAD2220
a cave obligate pseudoscorpion,Tyrannochthonius pecki,ILARAD2230
a cave obligate pseudoscorpion,Tyrannochthonius pholeter,ILARAD2240
a cave obligate pseudoscorpion,Tyrannochthonius pluto,ILARAD2250
a cave obligate pseudoscorpion,Tyrannochthonius pupukeanus,ILARAD2370
a cave obligate pseudoscorpion,Tyrannochthonius satan,ILARAD2260
a cave obligate pseudoscorpion,Tyrannochthonius sheltae,ILARAD2270
a cave obligate pseudoscorpion,Tyrannochthonius skeletonis,ILARAD2280
a cave obligate pseudoscorpion,Tyrannochthonius steevesi,ILARAD2290
a cave obligate pseudoscorpion,Tyrannochthonius stygius,ILARAD2300
a cave obligate pseudoscorpion,Tyrannochthonius tartarus,ILARAD2310
a cave obligate pseudoscorpion,Tyrannochthonius tenuis,ILARAD2320
