Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
Scalloped Juga,Juga occata,IMGASK4070,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116815/Juga_occata
Tularosa Juturnia,Juturnia tularosae,IMGASJ7250,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: NM (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.728463/Juturnia_tularosae
Scale Lanx,Lanx klamathensis,IMGASL7020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,"United States: CA (S1), OR (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115483/Lanx_klamathensis
Arkansas Mudalia,Leptoxis arkansensis,IMGASK5150,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: AR (S1), MO (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109749/Leptoxis_arkansensis
Oblong Rocksnail,Leptoxis compacta,IMGASK5030,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110417/Leptoxis_compacta
Interrupted Rocksnail,Leptoxis foremani,IMGASK5230,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,"United States: AL (SX), GA (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109449/Leptoxis_foremani
Spotted Rocksnail,Leptoxis picta,IMGASK5080,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114347/Leptoxis_picta
Plicate Rocksnail,Leptoxis plicata,IMGASK5090,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111774/Leptoxis_plicata
Painted Rocksnail,Leptoxis taeniata,IMGASK5110,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Threatened,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115377/Leptoxis_taeniata
Umbilicate Rocksnail,Leptoxis umbilicata,IMGASK5120,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,"Canada: QC (SNR), United States: TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119940/Leptoxis_umbilicata
Flat Pebblesnail,Lepyrium showalteri,IMGASH2010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110506/Lepyrium_showalteri
Cylindrical Lioplax,Lioplax cyclostomaformis,IMGASE8010,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,Endangered,,,"United States: AL (S1), GA (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107108/Lioplax_cyclostomaformis
Knobby Rocksnail,Lithasia curta,IMGASK6020,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,"United States: AL (SX), KY (SNR), TN (SX)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109071/Lithasia_curta
Rugose Rocksnail,Lithasia jayana,IMGASK6060,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1G2Q,G1,,,,United States: TN (SX),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117322/Lithasia_jayana
Sharp-tongued Rocksnail,Lithasia spicula,IMGASK6110,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1Q,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.789333/Lithasia_spicula
Ocmulgee Marstonia,Marstonia agarhecta,IMGASJ0880,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: GA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113656/Marstonia_agarhecta
Angled Marstonia,Marstonia angulobasis,IMGASK0120,"Mussels, Snails, & Other Molluscs",Freshwater Snails,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.785270/Marstonia_angulobasis
