Common Name,Scientific Name,Element Code,Species Group (Broad),Species Group (Fine),NatureServe Global Rank,NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Distribution,View on NatureServe Explorer
a cave obligate pseudoscorpion,Tartarocreagris attenuata,ILARA67090,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.789289/Tartarocreagris_attenuata
a cave obligate pseudoscorpion,Tartarocreagris domina,ILARA67110,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.789295/Tartarocreagris_domina
a cave obligate pseudoscorpion,Tartarocreagris grubbsi,ILARA67120,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.789298/Tartarocreagris_grubbsi
a cave obligate pseudoscorpion,Tartarocreagris hoodensis,ILARA67130,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.789301/Tartarocreagris_hoodensis
a cave obligate pseudoscorpion,Tartarocreagris intermedia,ILARA67040,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114478/Tartarocreagris_intermedia
a cave obligate pseudoscorpion,Tartarocreagris proserpina,ILARA67140,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.789304/Tartarocreagris_proserpina
Tooth Cave Pseudoscorpion,Tartarocreagris texana,ILARA67010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115123/Tartarocreagris_texana
a cave obligate spider,Tayshaneta anopica,ILARA24030,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112062/Tayshaneta_anopica
a cave obligate spider,Tayshaneta concinna,ILARA24040,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111351/Tayshaneta_concinna
a cave obligate spider,Tayshaneta devia,ILARA24050,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107580/Tayshaneta_devia
Government Canyon Bat Cave Spider,Tayshaneta microps,ILARA24020,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114191/Tayshaneta_microps
Tooth Cave Spider,Tayshaneta myopica,ILARA24010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121317/Tayshaneta_myopica
a cave obligate spider,Tayshaneta valverdae,ILARA24060,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114818/Tayshaneta_valverdae
a cave obligate harvestman,Texella brevidenta,ILARA25040,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120020/Texella_brevidenta
a cave obligate harvestman,Texella brevistyla,ILARA25050,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107149/Texella_brevistyla
Cokendolpher Cave Harvestman,Texella cokendolpheri,ILARA25030,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,Endangered,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115249/Texella_cokendolpheri
Whitewater Canyon Harvestman,Texella deserticola,ILARA25160,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.793603/Texella_deserticola
a cave obligate harvestman,Texella diplospina,ILARA25060,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110348/Texella_diplospina
a harvestman,Texella fendi,ILARA25150,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.742317/Texella_fendi
a cave obligate harvestman,Texella grubbsi,ILARA25070,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108623/Texella_grubbsi
a cave obligate harvestman,Texella hardeni,ILARA25080,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116671/Texella_hardeni
Kokoweef Crystal Cave Harvestman,Texella kokoweef,ILARA25090,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116364/Texella_kokoweef
a cave obligate harvestman,Texella renkesae,ILARA25120,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107227/Texella_renkesae
Shoshone Cave Harvestman,Texella shoshone,ILARA25130,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: CA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109568/Texella_shoshone
a cave obligate harvestman,Texella welbourni,ILARA25140,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: NM (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108950/Texella_welbourni
a cave obligate spider,Thymoites minero,ILARAA3010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: AZ (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109961/Thymoites_minero
a cave mite,Traegaardhia paralleloseta,ILACA01010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120873/Traegaardhia_paralleloseta
a cave obligate pseudoscorpion,Tuberochernes aalbui,ILARAD3010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113902/Tuberochernes_aalbui
a cave obligate pseudoscorpion,Tuberochernes ubicki,ILARAD3020,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AZ (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112957/Tuberochernes_ubicki
a pseudoscorpion,Tyrannochthonius alabamensis,ILARAD2390,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.3.11756/Tyrannochthonius_alabamensis
a cave obligate pseudoscorpion,Tyrannochthonius aladdinensis,ILARAD2010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117402/Tyrannochthonius_aladdinensis
a cave obligate pseudoscorpion,Tyrannochthonius aralu,ILARAD2020,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121027/Tyrannochthonius_aralu
a cave obligate pseudoscorpion,Tyrannochthonius archeri,ILARAD2030,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113444/Tyrannochthonius_archeri
a cave obligate pseudoscorpion,Tyrannochthonius attenuatus,ILARAD2040,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114000/Tyrannochthonius_attenuatus
a cave obligate pseudoscorpion,Tyrannochthonius avernicolus,ILARAD2050,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112297/Tyrannochthonius_avernicolus
a cave obligate pseudoscorpion,Tyrannochthonius barri,ILARAD2060,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116571/Tyrannochthonius_barri
a cave obligate pseudoscorpion,Tyrannochthonius binoculatus,ILARAD2070,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117584/Tyrannochthonius_binoculatus
a cave obligate pseudoscorpion,Tyrannochthonius chamberlini,ILARAD2080,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119431/Tyrannochthonius_chamberlini
a cave obligate pseudoscorpion,Tyrannochthonius charon,ILARAD2090,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107742/Tyrannochthonius_charon
a cave obligate pseudoscorpion,Tyrannochthonius diabolus,ILARAD2100,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107743/Tyrannochthonius_diabolus
a cave obligate pseudoscorpion,Tyrannochthonius erebicus,ILARAD2110,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106958/Tyrannochthonius_erebicus
a cave obligate pseudoscorpion,Tyrannochthonius felix,ILARAD2120,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114730/Tyrannochthonius_felix
a cave obligate pseudoscorpion,Tyrannochthonius fiskei,ILARAD2130,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116707/Tyrannochthonius_fiskei
a pseudoscorpion,Tyrannochthonius floridensis,ILARAD2380,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,"United States: AL (S1), FL (SNR)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.3.11753/Tyrannochthonius_floridensis
a cave obligate pseudoscorpion,Tyrannochthonius gnomus,ILARAD2140,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115420/Tyrannochthonius_gnomus
a cave obligate pseudoscorpion,Tyrannochthonius halopotamus,ILARAD2150,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,"United States: AL (S1), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120481/Tyrannochthonius_halopotamus
a cave obligate pseudoscorpion,Tyrannochthonius howarthi,ILARAD2360,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107209/Tyrannochthonius_howarthi
a cave obligate pseudoscorpion,Tyrannochthonius hypogeus,ILARAD2160,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: KY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107099/Tyrannochthonius_hypogeus
a cave obligate pseudoscorpion,Tyrannochthonius infernalis,ILARAD2170,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.108042/Tyrannochthonius_infernalis
a cave obligate pseudoscorpion,Tyrannochthonius jonesi,ILARAD2180,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109546/Tyrannochthonius_jonesi
a cave obligate pseudoscorpion,Tyrannochthonius nergal,ILARAD2190,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116788/Tyrannochthonius_nergal
a cave obligate pseudoscorpion,Tyrannochthonius orpheus,ILARAD2200,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116789/Tyrannochthonius_orpheus
a cave obligate pseudoscorpion,Tyrannochthonius osiris,ILARAD2210,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.121302/Tyrannochthonius_osiris
a cave obligate pseudoscorpion,Tyrannochthonius parvus,ILARAD2220,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120881/Tyrannochthonius_parvus
a cave obligate pseudoscorpion,Tyrannochthonius pecki,ILARAD2230,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111306/Tyrannochthonius_pecki
a cave obligate pseudoscorpion,Tyrannochthonius pholeter,ILARAD2240,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111819/Tyrannochthonius_pholeter
a cave obligate pseudoscorpion,Tyrannochthonius pluto,ILARAD2250,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110374/Tyrannochthonius_pluto
a cave obligate pseudoscorpion,Tyrannochthonius pupukeanus,ILARAD2370,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109807/Tyrannochthonius_pupukeanus
a cave obligate pseudoscorpion,Tyrannochthonius satan,ILARAD2260,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117250/Tyrannochthonius_satan
a cave obligate pseudoscorpion,Tyrannochthonius sheltae,ILARAD2270,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119978/Tyrannochthonius_sheltae
a cave obligate pseudoscorpion,Tyrannochthonius skeletonis,ILARAD2280,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119178/Tyrannochthonius_skeletonis
a cave obligate pseudoscorpion,Tyrannochthonius steevesi,ILARAD2290,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114390/Tyrannochthonius_steevesi
a cave obligate pseudoscorpion,Tyrannochthonius stygius,ILARAD2300,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114391/Tyrannochthonius_stygius
a cave obligate pseudoscorpion,Tyrannochthonius tartarus,ILARAD2310,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.113987/Tyrannochthonius_tartarus
a cave obligate pseudoscorpion,Tyrannochthonius tenuis,ILARAD2320,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111336/Tyrannochthonius_tenuis
a cave obligate pseudoscorpion,Tyrannochthonius torodei,ILARAD2340,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119505/Tyrannochthonius_torodei
a cave obligate pseudoscorpion,Tyrannochthonius troglodytes,ILARAD2350,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: TX (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.120646/Tyrannochthonius_troglodytes
a cave obligate scorpion,Uroctonus grahami,ILARAE3010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117449/Uroctonus_grahami
a cave obligate spider,Usofila gracilis,ILARAE4010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1G2,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114473/Usofila_gracilis
Baker's Cave Mite,Veigaia bakeri,ILACA14010,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: IN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111173/Veigaia_bakeri
Wyandotte Cave Mite,Veigaia wyandottensis,ILACA14020,Other Invertebrates,Terrestrial/Freshwater - Spiders and other Chelicerates,G1,G1,,,,United States: IN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111462/Veigaia_wyandottensis
a cave obligate worm,Cambarincola alienus,IAOLI07020,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,"United States: KY (SNR), TN (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111445/Cambarincola_alienus
a cave obligate worm,Cambarincola dubius,IAOLI07030,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,United States: IN (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111086/Cambarincola_dubius
a cave obligate worm,Cambarincola leptadenus,IAOLI07050,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116040/Cambarincola_leptadenus
a cave obligate worm,Cambarincola marthae,IAOLI07060,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110433/Cambarincola_marthae
a cave obligate worm,Cambarincola sheltensis,IAOLI07070,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109328/Cambarincola_sheltensis
Giant Palouse Earthworm,Driloleirus americanus,IAOLI01010,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1,G1,,,,"United States: ID (SNR), WA (S2)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110050/Driloleirus_americanus
Oregon Giant Earthworm,Driloleirus macelfreshi,IAOLI01020,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1,G1,,,,United States: OR (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116694/Driloleirus_macelfreshi
a cave obligate worm,Eremidrilus allegheniensis,IAOLI03020,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,United States: TN (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116446/Eremidrilus_allegheniensis
an earthworm,Haplotaxis brinkhursti,IAOLI05010,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1,G1,,,,United States: WV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115829/Haplotaxis_brinkhursti
a freshwater leech,Motobdella montezuma,IAHIR12010,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1,G1,,,,United States: AZ (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.840678/Motobdella_montezuma
an annelid,Parvidrilus strayeri,IAOLI14010,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1G2,G1,,,,United States: AL (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.111011/Parvidrilus_strayeri
a cave worm,Spelaedrilus multiporus,IAOLI09010,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.107538/Spelaedrilus_multiporus
a microdrile oligochaete,Trichodrilus culveri,IAOLI03010,Other Invertebrates,"Terrestrial/Freshwater - Worms, Leeches, and other Annelids",G1,G1,,,,United States: WV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115294/Trichodrilus_culveri
a hexapod,Litocampa henroti,IITHS01080,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: AL (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119586/Litocampa_henroti
Puckett's Cave Dipluran,Litocampa pucketti,IITHS01100,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106870/Litocampa_pucketti
a cave obligate beetle,Neanura hawaiiensis,IICLL12030,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: HI (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116140/Neanura_hawaiiensis
a cave obligate springtail,Oncopodura cruciata,IICLL18090,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: MT (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112433/Oncopodura_cruciata
Hoff's Cave Springtail,Oncopodura hoffi,IICLL18040,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: MO (S2),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110571/Oncopodura_hoffi
a cave obligate springtail,Oncopodura hubbardi,IICLL18010,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.116445/Oncopodura_hubbardi
a cave obligate springtail,Oncopodura prietoi,IICLL18060,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: NM (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.117639/Oncopodura_prietoi
a cave obligate springtail,Oncopodura tunica,IICLL18070,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: CA (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.118186/Oncopodura_tunica
a cave obligate springtail,Onychiurus oregonensis,IICLL17040,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: OR (SNR),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.115492/Onychiurus_oregonensis
a cave obligate springtail,Onychiurus paro,IICLL17050,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1,G1,,,,"Canada, United States: AL (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.109951/Onychiurus_paro
a cave springtail,Paleonura petebellingeri,IICLL30010,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.73.27909/Paleonura_petebellingeri
a cave obligate springtail,Plutomurus grahami,IICLL06070,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: NM (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106698/Plutomurus_grahami
Gandy Creek Cave Springtail,Pseudosinella certa,IICLL01050,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1,G1,,,,United States: WV (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.119494/Pseudosinella_certa
a cave obligate springtail,Pseudosinella dubia,IICLL01010,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,"United States: AR (SNR), OK (S1)",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.110247/Pseudosinella_dubia
a cave obligate springtail,Pseudosinella espanita,IICLL01210,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1,G1,,,,United States: KY (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.114203/Pseudosinella_espanita
a cave obligate springtail,Pseudosinella extra,IICLL01140,Other Invertebrates,"Terrestrial/Freshwater - Diplurans, Springtails, and Proturans",G1G2,G1,,,,United States: VA (S1),https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.112209/Pseudosinella_extra
